slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
sarrians_84122,84122,Sarrians,84260,5.35,5.6,3.7,5.4,6.1,5.8,4.4,6.2,5.2,5.4
sorgues_84129,84129,Sorgues,84700,6.36,7.14,5.43,5.86,4.86,7.14,6.57,6.14,6.0,6.57
le-thor_84132,84132,Le Thor,84250,6.82,6.73,5.27,7.09,6.18,6.82,4.27,7.82,6.0,7.36
la-tour-d-aigues_84133,84133,La Tour D'Aigues,84240,5.66,4.2,4.0,4.6,4.8,6.6,6.2,6.0,6.2,6.0
vaison-la-romaine_84137,84137,Vaison La Romaine,84110,6.16,7.31,3.0,6.94,5.75,5.94,6.31,6.63,5.69,6.38
valreas_84138,84138,Valreas,84600,5.47,6.17,3.33,6.0,5.33,5.5,5.67,5.67,4.5,5.67
vedene_84141,84141,Vedene,84270,7.96,7.33,5.67,7.33,6.33,9.0,7.67,9.0,8.33,8.33
aizenay_85003,85003,Aizenay,85190,6.02,5.33,4.5,6.5,5.0,6.33,5.33,6.83,5.83,6.33
aubigny-les-clouzeaux_85008,85008,Aubigny-Les Clouzeaux,85430,9.19,10.0,8.0,10.0,8.0,8.0,7.0,10.0,6.0,10.0
beauvoir-sur-mer_85018,85018,Beauvoir Sur Mer,85230,6.75,7.0,5.0,9.0,2.0,8.0,4.0,5.0,4.0,8.0
bellevigny_85019,85019,Bellevigny,85170,7.8,9.5,4.5,8.0,5.0,8.25,7.5,8.0,8.0,8.25
benet_85020,85020,Benet,85490,7.48,6.0,5.0,8.33,6.33,8.33,7.0,6.67,8.0,8.0
bretignolles-sur-mer_85035,85035,Bretignolles Sur Mer,85470,6.38,6.33,4.67,7.17,4.33,6.67,4.83,4.83,5.83,7.17
la-bruffiere_85039,85039,La Bruffiere,85530,7.88,7.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
la-chaize-le-vicomte_85046,85046,La Chaize Le Vicomte,85310,6.13,7.0,3.0,6.0,5.0,7.0,7.0,7.0,8.0,6.0
challans_85047,85047,Challans,85300,5.63,5.81,3.62,7.21,5.23,5.96,4.59,6.27,7.67,5.47
chantonnay_85051,85051,Chantonnay,85110,5.04,5.67,5.33,4.67,4.67,7.67,4.33,6.0,7.67,4.33
chavagnes-en-paillers_85065,85065,Chavagnes En Paillers,85250,7.25,7.0,4.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0
commequiers_85071,85071,Commequiers,85220,,,,,,,,,,
dompierre-sur-yon_85081,85081,Dompierre Sur Yon,85170,7.32,8.0,4.0,7.0,8.0,6.5,6.5,6.0,7.0,8.0
essarts-en-bocage_85084,85084,Essarts En Bocage,85140,9.06,10.0,8.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0
le-fenouiller_85088,85088,Le Fenouiller,85800,6.0,7.0,6.5,6.5,6.0,7.5,6.5,7.0,5.0,5.5
la-ferriere_85089,85089,La Ferriere,85280,6.41,7.0,6.0,7.0,7.33,7.0,5.83,5.83,5.83,6.33
sevremont_85090,85090,La Flocelliere,85700,,,,,,,,,,
fontenay-le-comte_85092,85092,Fontenay Le Comte,85200,6.02,6.73,4.39,5.59,5.56,6.76,5.88,7.22,5.83,6.05
la-garnache_85096,85096,La Garnache,85710,7.5,8.0,7.0,8.0,6.0,8.0,7.0,6.0,6.0,8.0
les-herbiers_85109,85109,Les Herbiers,85500,5.16,5.71,1.75,6.42,3.42,6.71,5.08,5.79,5.08,5.33
l-ile-d-yeu_85113,85113,L'Ile D'Yeu,85350,7.65,9.0,6.0,7.67,6.5,6.67,6.0,6.17,6.33,8.5
lucon_85128,85128,Lucon,85400,5.63,6.53,3.53,5.68,3.84,5.89,5.63,6.11,5.68,5.89
montaigu-vendee_85146,85146,Montaigu Vendee,85600,6.5,6.47,4.67,6.87,6.67,7.87,6.4,8.27,5.53,6.4
mortagne-sur-sevre_85151,85151,Mortagne Sur Sevre,85290,7.54,8.0,5.0,8.0,6.0,8.5,7.0,6.0,4.0,8.5
les-achards_85152,85152,La Mothe Achard,85150,,,,,,,,,,
mouilleron-le-captif_85155,85155,Mouilleron Le Captif,85000,7.06,8.0,5.0,7.67,6.0,7.33,6.0,7.33,7.0,7.33
noirmoutier-en-l-ile_85163,85163,Noirmoutier En L'Ile,85330,6.99,7.89,5.22,8.11,5.44,6.11,5.44,5.89,6.33,7.67
le-poire-sur-vie_85178,85178,Le Poire Sur Vie,85170,9.13,10.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0
pouzauges_85182,85182,Pouzauges,85700,7.0,7.0,3.0,8.0,4.5,6.5,6.5,8.0,4.5,8.0
la-roche-sur-yon_85191,85191,La Roche Sur Yon,85000,5.87,6.63,4.97,6.12,5.42,6.44,6.03,6.8,5.74,5.71
les-sables-d-olonne_85194,85194,Les Sables D'Olonne,85100,6.78,7.53,5.64,7.05,5.22,6.68,5.14,6.34,6.68,7.26
montreverd_85197,85197,Saint Andre Treize Voies,85260,,,,,,,,,,
rives-de-l-yon_85213,85213,Rives De L'Yon,85310,3.75,2.0,8.0,5.0,7.0,8.0,3.0,6.0,5.0,2.0
saint-fulgent_85215,85215,Saint Fulgent,85250,3.49,3.83,1.5,6.17,3.5,4.67,2.67,4.0,1.5,3.5
saint-gilles-croix-de-vie_85222,85222,Saint Gilles Croix De Vie,85800,7.93,8.33,6.8,8.53,5.6,7.2,7.27,6.6,7.73,8.6
saint-hilaire-de-riez_85226,85226,Saint Hilaire De Riez,85270,6.26,6.92,3.92,6.67,3.92,6.33,5.33,5.67,5.42,7.0
saint-jean-de-monts_85234,85234,Saint Jean De Monts,85160,6.26,6.96,6.04,5.78,5.39,7.39,6.35,6.61,6.65,6.13
saint-laurent-sur-sevre_85238,85238,Saint Laurent Sur Sevre,85290,5.55,8.5,3.5,7.5,4.5,5.75,5.5,6.75,4.75,5.25
soullans_85284,85284,Soullans,85300,8.1,8.75,4.75,9.0,6.75,7.25,5.75,6.5,6.75,9.25
talmont-saint-hilaire_85288,85288,Talmont Saint Hilaire,85440,6.17,6.75,4.75,7.0,5.75,6.38,6.13,5.63,6.38,6.25
venansault_85300,85300,Venansault,85190,7.54,6.67,4.67,7.67,5.33,7.0,6.33,7.0,6.67,8.67
chanverrie_85302,85302,Chanverrie,85130,6.17,6.0,3.67,6.0,4.67,5.33,4.0,4.67,5.67,7.33
buxerolles_86041,86041,Buxerolles,86180,4.43,5.56,4.33,3.44,5.67,6.11,5.11,4.89,5.56,3.78
chasseneuil-du-poitou_86062,86062,Chasseneuil Du Poitou,86360,7.16,8.0,6.25,8.0,7.0,6.25,5.25,6.0,7.75,7.5
chatellerault_86066,86066,Chatellerault,86100,5.12,6.18,5.61,4.29,4.89,6.0,5.04,5.14,5.11,4.96
